Elo_Ranking,ID,Name,Elo
1031.0,102,Villanova,657.5686931994143
1030.0,242,Kansas,650.2020558804585
1029.0,48,Kentucky,636.3019699432946
1028.0,180,Virginia,626.0000590540161
1027.0,98,Oregon,618.7712592175056
1026.0,130,Gonzaga,617.420784301377
1025.0,50,North Carolina,611.9098862335758
1024.0,46,Arizona,608.9220883181847
1023.0,2,Valparaiso,592.8750067458927
1022.0,196,Xavier,588.2002716963979
1021.0,154,Utah,586.2073115379495
1020.0,406,Oklahoma,583.5006830196229
1019.0,232,Duke,583.248774205785
1018.0,238,Maryland,579.7290618774465
1017.0,222,West Virginia,579.220521451138
1016.0,234,Chattanooga,575.3520622213891
1015.0,28,Wisconsin,574.7732519314752
1014.0,667,Michigan State,571.1845515595179
1013.0,214,Dayton,571.0789963643291
1012.0,116,Louisville,569.1075218334902
1011.0,286,Purdue,563.4018457784114
1010.0,30,Notre Dame,561.1480475552712
1009.0,62,SF Austin,558.7580277852355
1008.0,343,Northern Iowa,555.2259294519603
1007.0,74,Texas A&M,555.2243367696348
1006.0,112,Hawaii,552.7418349474792
1005.0,308,Stony Brook,549.5545870829707
1004.0,210,Wichita St,546.2926556806079
1003.0,306,Indiana,546.2008161612918
1002.0,229,Yale,545.6059814457053
1001.0,738,Stephen F. Austin,544.1247373299785
1000.0,120,SMU,539.2147237721067
999.0,122,Baylor,538.6603859271953
998.0,651,Saint Mary's (CA),537.7487995468969
997.0,773,Miami (FL),537.2846960677266
996.0,825,Arkansas-Little Rock,537.0271083179364
995.0,52,Akron,535.7734969991221
994.0,261,Murray St,535.1549804407755
993.0,650,Saint Joseph's,533.5608622575975
992.0,401,Seton Hall,532.0930382337723
991.0,164,Connecticut,531.1754287068902
990.0,327,Providence,530.5533661415416
989.0,168,Iona,529.4428988254492
988.0,364,Butler,528.3796163162767
987.0,250,Temple,527.3977498448488
986.0,813,Southern Methodist,526.8300433402046
985.0,675,North Carolina-Wilmington,522.6452371555015
984.0,336,Colorado St,521.076872765399
983.0,258,Cincinnati,519.2738589653228
982.0,244,Iowa St,519.1994695444432
981.0,20,Louisiana Tech,518.5507413458104
980.0,172,Princeton,518.4162327102865
979.0,787,Fresno State,516.3485157164796
978.0,653,San Diego State,516.0528130602502
977.0,697,South Dakota State,515.5839120636917
976.0,124,Iowa,515.4607497463587
975.0,90,San Diego St,514.3856646746282
974.0,56,Hofstra,514.3176048191679
973.0,347,Davidson,514.2221144939975
972.0,686,Monmouth,514.0159678942101
971.0,752,University of California,513.6954644029151
970.0,694,Wichita State,513.0716391530249
969.0,268,Texas,513.0612345063313
968.0,737,Alabama-Birmingham,511.9544645493354
967.0,290,South Carolina,509.4429548661184
966.0,711,Texas A&M-Corpus Christi,509.3050713053113
965.0,224,VA Commonwealth,508.8155987271656
964.0,393,UC Davis,508.6437842834604
963.0,110,Boise St,508.5312434633833
962.0,320,Tulsa,508.39000731242965
961.0,49,Grand Canyon,506.89069305509764
960.0,58,Georgia St,505.96419413930687
959.0,248,Buffalo,505.54455618858185
958.0,374,Evansville,505.30612304558485
957.0,685,Virginia Commonwealth,504.91591898183685
956.0,262,BYU,504.8962438705525
955.0,353,Old Dominion,503.92347084967696
954.0,693,Weber State,503.54779597429166
953.0,136,E Washington,502.26745035343765
952.0,204,Sam Houston St,500.8856187889836
951.0,328,Albany NY,500.1753289416533
950.0,714,St. Bonaventure,499.8459918023474
949.0,363,Winthrop,499.5086576371054
948.0,819,Cal State Bakersfield,498.89906896038025
947.0,187,Georgia,496.73143274189607
946.0,106,High Point,496.4643148251033
945.0,748,UC-Irvine,495.71323371013824
944.0,51,NC Central,492.94870472728286
943.0,174,Pittsburgh,492.940641374401
942.0,868,Middle Tennessee,492.7838395127082
941.0,18,Michigan St,492.53001531563217
940.0,162,IPFW,492.4928191216996
939.0,291,North Florida,492.02659177986106
938.0,754,Brigham Young,490.44763119733017
937.0,407,Vanderbilt,490.3924908692609
936.0,361,WI Green Bay,490.1265080905754
935.0,211,New Mexico St,488.4405057832423
934.0,305,Belmont,488.35691391110987
933.0,337,Montana,488.11693061671684
932.0,190,C Michigan,487.02239749539916
931.0,269,N Dakota St,486.8629984692207
930.0,372,Michigan,486.34558363460417
929.0,672,New Mexico State,485.9626778278074
928.0,768,Iowa State,485.6537190248619
927.0,44,Colorado,485.1587525841852
926.0,837,East Tennessee State,485.0247387291874
925.0,246,Coastal Car,484.09347159530665
924.0,221,William & Mary,483.0656254570054
923.0,771,Albany (NY),482.8657668374048
922.0,715,Green Bay,482.2848689772555
921.0,281,Mississippi,481.93060285423934
920.0,300,Ohio St,481.52809391499017
919.0,788,George Washington,480.38852999137015
918.0,249,S Dakota St,478.56539537227417
917.0,400,Arkansas,478.4357356576752
916.0,181,James Madison,477.6873274784861
915.0,245,Oakland,477.6254434418523
914.0,288,Syracuse,475.4235477058404
913.0,840,Ohio State,474.66248620063607
912.0,27,Ga Southern,474.32344442654227
911.0,359,LSU,474.0814204703855
910.0,699,Southern California,473.8879669162149
909.0,352,St Francis NY,472.00872323709604
908.0,118,UTEP,471.64770423698616
907.0,260,Houston,470.069705327925
906.0,687,Wright State,469.58950203026467
905.0,236,St John's,469.0528221810135
904.0,80,St Mary's CA,468.89843341859637
903.0,797,Oregon State,468.8953501673317
902.0,78,Alabama,468.8075815797029
901.0,383,Illinois St,468.3779765982306
900.0,708,North Carolina-Asheville,465.6923457993135
899.0,296,Rhode Island,465.61626853535074
898.0,818,Texas-Arlington,465.17882552196113
897.0,88,UC Irvine,464.5870439916144
896.0,831,Long Beach State,463.6217718532545
895.0,309,Columbia,463.4636699869204
894.0,137,TX Southern,463.33747836431917
893.0,349,FL Gulf Coast,463.17982820105385
892.0,342,Vermont,463.0762441815264
891.0,762,Louisiana State,461.60151712726616
890.0,125,Hampton,461.41581722303687
889.0,764,Louisiana-Monroe,460.0076857472649
888.0,316,SC Upstate,459.64399644486787
887.0,323,Kent,459.46017594841635
886.0,702,Southern Illinois,458.53393687775804
885.0,85,Wofford,458.4967269179388
884.0,184,Miami FL,458.439681264612
883.0,388,Northeastern,457.6196295517855
882.0,182,NC State,456.21402523716347
881.0,24,Incarnate Word,455.8562345406393
880.0,345,Ohio,455.52699644469874
879.0,220,Florida,454.69710950714517
878.0,843,Florida State,454.35230594927435
877.0,438,Memphis,453.93204468460686
876.0,314,Harvard,453.72882323596946
875.0,662,Boise State,453.42168503584384
